year,month,day,open,high,low,close,vol
2004,08,19,100.01,104.06,95.96,100.76,20925213
2004,08,20,101.19,109.08,100.5,108.35,11224400
2004,08,23,110.76,113.48,109.56,109.95,8787658
2004,08,24,111.24,111.6,103.57,105,7384914
2004,08,25,104.96,108,103.88,105.96,4456538
2004,08,26,104.95,107.88,104.66,107.52,3424847
2004,08,27,108.1,108.62,105.69,105.97,2963862
2004,08,30,105.29,105.49,102.06,102.13,2538696
2004,08,31,102.16,103.71,102.1,102.37,2351093
2004,09,01,102.7,102.97,99.67,99.95,4423122
2004,09,02,99.09,102.37,98.94,101.33,7259207
2004,09,03,100.95,101.74,99.32,100.11,2476546
2004,09,07,101.03,102,99.61,101.45,2739447
2004,09,08,100.76,103.03,100.5,102.34,2430775
2004,09,09,102.43,102.71,101,102.04,1889380
2004,09,10,101.6,106.56,101.3,105.51,4113893
2004,09,13,106.63,108.41,106.46,107.24,3805449
2004,09,14,107.4,112,106.79,111.65,5298719
2004,09,15,110.56,114.23,110.2,111.66,5119558
2004,09,16,112.34,115.8,111.65,113.73,4540316
2004,09,17,114.54,117.45,113.55,117.43,3794726
2004,09,20,116.95,121.6,116.77,119.47,4921329
2004,09,21,120.18,120.42,117.51,117.7,3253781
2004,09,22,117.5,119.67,116.81,118.1,3746656
2004,09,23,118.75,122.63,117.02,120.5,4181819
2004,09,24,120.97,124.1,119.78,119.81,4406275
2004,09,27,119.64,120.88,117.8,118.28,3278926
2004,09,28,121.22,127.4,120.21,127,8116880
2004,09,29,126.75,135.02,126.23,131.15,14914741
2004,09,30,129.9,132.3,129,129.25,6173796
2004,10,01,130.8,134.24,128.9,132.57,7335704
2004,10,04,135.25,136.87,134.03,134.88,6209109
2004,10,05,134.67,138.44,132.24,138.38,7115042
2004,10,06,137.67,138.45,136,136.98,6555858
2004,10,07,136.51,139.88,136.51,138.6,6916689
2004,10,08,138.77,139.68,137.02,137.62,5159093
2004,10,11,136.9,138.86,133.85,135.08,5122562
2004,10,12,134.49,137.61,133.4,137.45,5365505
2004,10,13,143.32,143.55,140.08,140.92,9349497
2004,10,14,141.02,142.38,138.56,141.7,5099827
2004,10,15,144.95,145.5,141.95,144.23,6237859
